"ActionKey","Feature","Kind","Context","AdminGrantable","Status","Gate","Risk","DatabaseRisk","Requires","Screens","Guard"
"identity.account.register","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S01","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.account.verify","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S02","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.account.resend","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S02","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.account.login","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S03","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.account.reset_request","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S04","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.account.reset_confirm","FX-01","COMMAND","PUBLIC","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S04","Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request; generic response, throttle; verify24h/reset30min theo security gate; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.session.logout","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S06","Current principal/session proof; không ảnh hưởng session tài khoản khác; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.session.revoke_session","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S06","Current principal/session proof; không ảnh hưởng session tài khoản khác; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.session.revoke_all","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S06","Current principal/session proof; không ảnh hưởng session tài khoản khác; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
"identity.session.read","FX-01","QUERY","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX01-S06","Current principal; safe device/time metadata; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request"
